# Busqueda lineal. Tiempos en microsegundos
# Talla        Peor   Mejor   Promedio
#-------------------------------------
  100000      75.48    0.08      33.20
  200000      85.87    0.05      43.48
  300000     121.92    0.04      63.89
  400000     164.24    0.05      84.13
  500000     201.84    0.04     104.27
  600000     333.66    0.05     121.69
  700000     343.72    0.11     159.62
  800000     334.92    0.05     165.34
  900000     370.18    0.05     185.17
 1000000     408.82    0.05     198.43

